date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,4.01,4.05,4.04,3.95,249681.8,0.05,1.25,4.018,3.966,4.016,235639.13,246043.34,252155.42,0.91
2020-02-21,4.04,4.06,4.03,4.01,271456.41,-0.01,-0.25,4.032,3.982,3.997,248378.58,232864.4,253650.65,0.99
2020-02-24,4.02,4.02,3.97,3.92,339885.22,-0.06,-1.49,4.018,3.989,3.976,269344.72,242736.01,263122.91,1.24
2020-02-25,3.9,3.92,3.9,3.76,361632.16,-0.07,-1.76,3.986,3.988,3.954,291384.72,261274.11,273062.27,1.32
2020-02-26,3.84,4.03,3.9,3.81,347793.59,0.0,0.0,3.968,3.983,3.933,314089.84,274453.9,282167.31,1.27
2020-02-27,3.91,3.93,3.88,3.84,283557.69,-0.02,-0.51,3.936,3.977,3.91,320865.01,278252.07,286985.47,1.04
2020-02-28,3.88,3.98,3.76,3.75,452849.66,-0.12,-3.09,3.882,3.957,3.891,357143.66,302761.12,296333.9,1.65
2020-03-02,3.78,3.87,3.84,3.74,294609.12,0.08,2.13,3.856,3.937,3.897,348088.44,308716.58,309172.41,1.08
2020-03-03,3.87,4.22,4.22,3.81,810251.75,0.38,9.9,3.92,3.953,3.933,437812.36,364598.54,320720.42,2.96
2020-03-04,4.11,4.26,4.17,4.04,796802.88,-0.05,-1.19,3.974,3.971,3.961,527614.22,420852.03,342152.76,2.91
2020-03-05,4.2,4.42,4.25,4.17,752638.69,0.08,1.92,4.048,3.992,3.979,621430.42,471147.72,358595.53,2.75
2020-03-06,4.17,4.38,4.34,4.16,595770.31,0.09,2.12,4.164,4.023,4.003,650014.55,503579.11,368221.75,2.18
2020-03-09,4.3,4.5,4.34,4.25,771643.19,0.0,0.0,4.264,4.06,4.025,745421.36,546754.9,394745.46,2.82
2020-03-10,4.25,4.47,4.44,4.07,800265.19,0.1,2.3,4.308,4.114,4.051,743424.05,590618.21,425946.16,2.92
2020-03-11,4.44,4.53,4.34,4.34,591257.81,-0.1,-2.25,4.342,4.158,4.071,702315.04,614964.63,444709.26,2.16
2020-03-12,4.27,4.32,4.19,4.15,433230.06,-0.15,-3.46,4.33,4.189,4.083,638433.31,629931.87,454091.97,1.58
2020-03-13,3.93,4.13,4.07,3.93,487984.56,-0.12,-2.86,4.276,4.22,4.089,616876.16,633445.36,468103.24,1.78
2020-03-16,4.13,4.15,3.86,3.83,417010.19,-0.21,-5.16,4.18,4.222,4.08,545949.56,645685.46,477201.02,1.52
2020-03-17,3.88,3.94,3.88,3.74,337994.06,0.02,0.52,4.068,4.188,4.071,453495.34,598459.69,481529.12,1.23
2020-03-18,3.91,3.94,3.82,3.8,264975.97,-0.06,-1.55,3.964,4.153,4.062,388238.97,545277.0,483064.52,0.97
2020-03-19,3.8,3.85,3.81,3.72,244249.61,-0.01,-0.26,3.888,4.109,4.051,350442.88,494438.1,482792.91,0.89
2020-03-20,3.85,3.94,3.89,3.82,242041.27,0.08,2.1,3.852,4.064,4.044,301254.22,459065.19,481322.15,0.88
2020-03-23,3.78,3.86,3.75,3.73,208410.42,-0.14,-3.6,3.83,4.005,4.033,259534.27,402741.91,474748.41,0.76
2020-03-24,3.81,3.84,3.8,3.73,181795.52,0.05,1.33,3.814,3.941,4.028,228294.56,340894.95,465756.58,0.66
2020-03-25,3.88,3.88,3.84,3.81,196085.17,0.04,1.05,3.818,3.891,4.025,214516.4,301377.68,458171.16,0.72
2020-03-26,3.83,3.91,3.85,3.81,187922.02,0.01,0.26,3.826,3.857,4.023,203250.88,276846.88,453389.37,0.69
2020-03-27,3.89,3.91,3.8,3.79,180012.89,-0.05,-1.3,3.808,3.83,4.025,190845.2,246049.71,439747.53,0.66
2020-03-30,3.75,3.75,3.65,3.61,288720.97,-0.15,-3.95,3.788,3.809,4.016,206907.31,233220.79,439453.13,1.05
2020-03-31,3.7,3.72,3.63,3.61,153572.45,-0.02,-0.55,3.754,3.784,3.986,201262.7,214778.63,406619.16,0.56
2020-04-01,3.61,3.67,3.6,3.56,183222.38,-0.03,-0.83,3.706,3.762,3.958,198690.14,206603.27,375940.14,0.67
2020-04-02,3.57,3.64,3.64,3.55,138085.91,0.04,1.11,3.664,3.745,3.927,188722.92,195986.9,345212.5,0.5
2020-04-03,3.65,3.65,3.58,3.57,141472.27,-0.06,-1.65,3.62,3.714,3.889,181014.8,185930.0,322497.6,0.52
2020-04-07,3.64,3.77,3.76,3.62,232918.66,0.18,5.03,3.642,3.715,3.86,169854.33,188380.82,295561.37,0.85
2020-04-08,3.73,3.95,3.9,3.72,325570.88,0.14,3.72,3.696,3.725,3.833,204254.02,202758.36,271826.65,1.19
2020-04-09,3.9,3.94,3.9,3.87,178569.02,0.0,0.0,3.756,3.731,3.811,203323.35,201006.75,251192.21,0.65
2020-04-10,3.92,3.92,3.84,3.81,141406.97,-0.06,-1.54,3.796,3.73,3.794,203987.56,196355.24,236601.06,0.52
2020-04-13,3.79,3.87,3.8,3.77,126686.0,-0.04,-1.04,3.84,3.73,3.78,201030.31,191022.55,218536.13,0.46
2020-04-14,3.84,3.84,3.8,3.77,171380.5,0.0,0.0,3.848,3.745,3.777,188722.67,179288.5,206254.65,0.63
2020-04-15,3.8,3.81,3.78,3.77,132852.73,-0.02,-0.53,3.824,3.76,3.772,150179.04,177216.53,195997.58,0.49
2020-04-16,3.76,3.78,3.75,3.73,114216.0,-0.03,-0.79,3.794,3.775,3.769,137308.44,170315.89,188459.58,0.42
2020-04-17,3.76,3.78,3.72,3.72,156210.2,-0.03,-0.8,3.77,3.783,3.764,140269.09,172128.32,184057.61,0.57
2020-04-20,3.78,3.83,3.82,3.76,176735.58,0.1,2.69,3.774,3.807,3.761,150279.0,175654.65,180792.33,0.65
2020-04-21,3.85,3.89,3.83,3.79,177934.66,0.01,0.26,3.78,3.814,3.765,151589.83,170156.25,179268.54,0.65
2020-04-22,3.81,3.88,3.87,3.74,186651.17,0.04,1.04,3.798,3.811,3.768,162349.52,156264.28,179511.32,0.68
2020-04-23,3.88,3.89,3.8,3.79,139254.12,-0.07,-1.81,3.808,3.801,3.766,167357.15,152332.79,176669.77,0.51
2020-04-24,3.8,3.8,3.73,3.69,150284.41,-0.07,-1.84,3.81,3.79,3.76,166171.99,153220.54,174787.89,0.55
2020-04-27,3.74,3.81,3.74,3.72,131525.22,0.01,0.27,3.794,3.784,3.757,157129.92,153704.46,172363.51,0.48
2020-04-28,3.72,3.74,3.65,3.55,179421.58,-0.09,-2.41,3.758,3.769,3.757,157427.3,154508.57,166898.54,0.66
2020-04-29,3.59,3.65,3.62,3.58,115182.29,-0.03,-0.82,3.708,3.753,3.757,143133.52,152741.52,164979.03,0.42
2020-04-30,3.6,3.71,3.69,3.6,127617.49,0.07,1.93,3.686,3.747,3.761,140806.2,154081.67,162198.78,0.47
2020-05-06,3.76,3.84,3.83,3.72,183766.62,0.14,3.79,3.706,3.758,3.771,147502.64,156837.31,164482.82,0.67
2020-05-07,3.83,3.84,3.82,3.8,132090.22,-0.01,-0.26,3.722,3.758,3.783,147615.64,152372.78,164013.72,0.48
2020-05-08,3.85,3.86,3.82,3.81,149300.23,0.0,0.0,3.756,3.757,3.786,141591.37,149509.34,159832.79,0.55
2020-05-11,3.67,3.67,3.61,3.57,457791.69,-0.21,-5.5,3.754,3.731,3.771,210113.25,176623.39,166443.84,1.67
2020-05-12,3.58,3.61,3.58,3.49,325323.12,-0.03,-0.83,3.732,3.709,3.755,249654.38,195230.29,173781.54,1.19
2020-05-13,3.55,3.57,3.56,3.52,143860.2,-0.02,-0.56,3.678,3.692,3.741,241673.09,194587.87,173904.2,0.53
2020-05-14,3.54,3.61,3.57,3.5,184785.88,0.01,0.28,3.628,3.675,3.73,252212.22,199913.93,176809.2,0.67
2020-05-15,3.55,3.58,3.54,3.54,91121.0,-0.03,-0.84,3.572,3.664,3.717,240576.38,191083.87,172796.22,0.33
2020-05-18,3.55,3.56,3.52,3.5,129893.11,-0.02,-0.56,3.554,3.654,3.704,174996.66,192554.96,172648.24,0.47
2020-05-19,3.55,3.55,3.51,3.49,137411.67,-0.01,-0.28,3.54,3.636,3.692,137414.37,193534.37,173808.02,0.5
2020-05-20,3.51,3.52,3.45,3.44,161412.66,-0.06,-1.71,3.518,3.598,3.678,140924.86,191298.98,174068.15,0.59
2020-05-21,3.47,3.47,3.37,3.36,201611.48,-0.08,-2.32,3.478,3.553,3.656,144289.98,198251.1,175311.94,0.74
2020-05-22,3.36,3.39,3.38,3.29,171418.03,0.01,0.3,3.446,3.509,3.633,160349.39,200462.88,174986.11,0.63
2020-05-25,3.38,3.42,3.36,3.36,88353.0,-0.02,-0.59,3.414,3.484,3.608,152041.37,163519.02,170071.2,0.32
2020-05-26,3.36,3.42,3.37,3.36,103682.5,0.01,0.3,3.386,3.463,3.586,145295.53,141354.95,168292.62,0.38
2020-05-27,3.36,3.4,3.38,3.35,99979.2,0.01,0.3,3.372,3.445,3.569,133008.84,136966.85,165777.36,0.37
2020-05-28,3.37,3.38,3.34,3.31,121926.0,-0.04,-1.18,3.366,3.422,3.549,117071.75,130680.87,165297.4,0.45
2020-05-29,3.33,3.41,3.36,3.31,126313.15,0.02,0.6,3.362,3.404,3.534,108050.77,134200.08,162641.98,0.46
