date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-20,13.22,14.13,14.0,13.22,1307207.25,0.8,6.06,13.304,13.013,13.138,754803.76,649818.49,593885.12,4.02
2020-02-21,13.99,13.99,13.85,13.75,696631.94,-0.15,-1.07,13.506,13.134,13.114,771549.7,648617.75,613524.69,2.14
2020-02-24,13.81,14.05,13.95,13.69,834319.38,0.1,0.72,13.664,13.24,13.096,800506.5,668071.36,641225.53,2.56
2020-02-25,13.58,13.74,13.61,13.26,879763.06,-0.34,-2.44,13.722,13.329,13.058,836872.3,713106.11,667592.74,2.7
2020-02-26,13.42,13.85,13.52,13.32,692882.0,-0.09,-0.66,13.786,13.401,13.037,882160.73,737493.35,672837.22,2.13
2020-02-27,13.64,13.79,13.59,13.56,518904.97,0.07,0.52,13.704,13.504,13.023,724500.27,739652.02,677006.58,1.59
2020-02-28,13.3,13.49,12.92,12.88,740196.5,-0.67,-4.93,13.518,13.512,13.001,733213.18,752381.44,680269.08,2.28
2020-03-02,13.23,13.97,13.91,13.23,1080596.5,0.99,7.66,13.51,13.587,13.095,782468.61,791487.55,721390.5,3.32
2020-03-03,14.05,14.14,13.79,13.67,914917.56,-0.12,-0.86,13.546,13.634,13.199,789499.51,813185.9,717665.45,2.81
2020-03-04,14.11,14.83,14.6,14.11,1825710.0,0.81,5.87,13.762,13.774,13.314,1016065.11,949112.92,766454.24,5.61
2020-03-05,14.77,15.58,15.35,14.39,2188666.5,0.75,5.14,14.114,13.909,13.461,1350017.41,1037258.84,843538.67,6.73
2020-03-06,15.07,15.27,14.84,14.71,1353321.25,-0.51,-3.32,14.498,14.008,13.571,1472642.36,1102927.77,875772.76,4.16
2020-03-09,14.55,14.55,14.11,14.08,1123448.88,-0.73,-4.92,14.538,14.024,13.632,1481212.84,1131840.72,899956.04,3.45
2020-03-10,14.0,14.4,14.28,13.67,995413.69,0.17,1.21,14.636,14.091,13.71,1497312.06,1143405.79,928255.95,3.06
2020-03-11,14.26,14.27,13.83,13.81,727219.06,-0.45,-3.15,14.482,14.122,13.762,1277613.88,1146839.49,942166.42,2.24
2020-03-12,13.62,13.65,13.43,13.25,671677.38,-0.4,-2.89,14.098,14.106,13.805,974216.05,1162116.73,950884.37,2.06
2020-03-13,12.8,13.31,13.1,12.66,1105291.25,-0.33,-2.46,13.75,14.124,13.818,924610.05,1198626.21,975503.82,3.4
2020-03-16,13.21,13.24,12.68,12.63,639845.94,-0.42,-3.21,13.464,14.001,13.794,827889.46,1154551.15,973019.35,1.97
2020-03-17,12.72,12.89,12.75,12.28,569510.44,0.07,0.55,13.158,13.897,13.766,742708.81,1120010.44,966598.17,1.75
